Product ID;Product Title;Impressions;Clicks;CTR;Spend;Conversions;Conversion Value;ROAS;Custom Label 4
shopify_DE_8609693827397_46898912362821;BRIGHT Chaussettes antidérapantes | Blanc | Recommandé par les athlètes professionnels;50;0;0;0;0;0;0;bird
shopify_DE_8609693827397_46898912362821;BRIGHT Greppstrumpor | Vita | Rekommenderade av Professionella Idrottsmän;73;0;0;0;0;0;0;bird
shopify_DE_8609693827397_46898912362821;BRIGHT Grip Socken | Weiß | Erprobt von Profisportlern;38;1;0,0263157894736842;0,64;0;0;0;turtle
shopify_DE_8609693827397_46898912362821;BRIGHT Grip Socks | White | Aprooved by Pro Athletes;350;1;0,00285714285714286;1,18;0;0;0;turtle
shopify_DE_8609693827397_46898912362821;BRIGHT Grip Sokken | Wit | Goedgekeurd door Pro Atleten;2;0;0;0;0;0;0;bird
shopify_DE_8605017309509_46880640008517;BRIGHT Lunettes de vision nocturne;6806;40;0,00587716720540699;8,87;0;0;0;turtle
shopify_DE_8605017309509_46880640008517;BRIGHT Night Vision Glasses;21948;145;0,00660652451248405;34,580912;0;0;0;zombie
shopify_DE_8605017309509_46880640008517;BRIGHT Nachtsichtbrille;3185;28;0,00879120879120879;10,47;0;0;0;turtle
shopify_DE_8605017309509_46880640008517;BRIGHT Night Vision-glasögon;8028;54;0,00672645739910314;20,08;0;0;0;turtle
shopify_DE_8605017309509_46880640008517;BRIGHT Nachtvisie Brillen;1870;13;0,00695187165775401;5,24;0;0;0;turtle
shopify_DE_7214458667096_40032410861656;BRIGHT Lichtgevende Holografische American Football;1258;4;0,00317965023847377;1,12;0;0;0;turtle
shopify_DE_7214458667096_40032410861656;BRIGHT Luminous Holographic American Football;7951;36;0,00452773236070934;28,492954;1;0,000041861164709;0;turtle
shopify_DE_7214458667096_40032410861656;BRIGHT Lysande Holografisk Amerikansk Fotboll;1313;8;0,00609291698400609;2,51;0;0;0;turtle
shopify_DE_7214458667096_40032410861656;BRIGHT Luminous Holographic Football;78872;511;0,00647885181052845;252,330543;5,992528;0,000331577131312;0;zombie
